,T1-T2,average time per event for ideal,clean #,input length,total online time for BME(T1),total online time for ideal,total time clean(T2)
0,2.07042694092e-05,2.09307670593e-06,0,10,2.070426940917969e-05,2.09307670593e-05,0.0
0,0.00209624767303,1.96517467499e-06,988,1000,0.009578843116760254,0.00196517467499,0.007482595443725586
0,0.00415495872498,1.92879915237e-06,1988,2000,0.019110894203186034,0.00385759830475,0.014955935478210449
0,0.00627636909485,1.92985773087e-06,2988,3000,0.028846504688262938,0.0057895731926,0.022570135593414305
0,0.00820416212082,1.92144334316e-06,3988,4000,0.03788852453231811,0.00768577337265,0.029684362411499025
0,0.0102355957031,1.91172075272e-06,4988,5000,0.047461788654327396,0.00955860376358,0.03722619295120239
0,0.012377076149,1.93415164948e-06,5988,6000,0.05724398612976074,0.0116049098969,0.044866909980773924
0,0.0145252609253,1.94511890411e-06,6988,7000,0.06710614681243897,0.0136158323288,0.052580885887145996
0,0.0165368771553,1.94072574377e-06,7988,8000,0.07654622316360474,0.0155258059502,0.06000934600830078
0,0.0184932780266,1.93306525548e-06,8988,9000,0.08562463998794556,0.0173975872993,0.06713136196136475
0,0.020415019989,1.93610167503e-06,9988,10000,0.09490883588790894,0.0193610167503,0.07449381589889527
