,T1-T2,average time per event for ideal,clean #,input length,total online time for BME(T1),total online time for ideal,total time clean(T2)
0,8.28504562378e-06,9.17196273804e-07,0,10,8.285045623779297e-06,9.17196273804e-06,0.0
0,0.000863757133484,8.22651386261e-07,495,1000,0.012585132122039796,0.000822651386261,0.011721374988555909
0,0.00174054384232,8.17242860794e-07,995,2000,0.02548274040222168,0.00163448572159,0.023742196559906007
0,0.00258512020111,8.06037584941e-07,1495,3000,0.03758342504501343,0.00241811275482,0.03499830484390259
0,0.00341842651367,8.07049274445e-07,1995,4000,0.049881856441497806,0.00322819709778,0.04646342992782593
0,0.00427024364471,8.10284614563e-07,2495,5000,0.06252241849899293,0.00405142307281,0.05825217485427856
0,0.00517250537872,8.15858443578e-07,2995,6000,0.07523339033126832,0.00489515066147,0.07006088495254517
0,0.00602028846741,8.13905170986e-07,3495,7000,0.08776119947433472,0.0056973361969,0.08174091100692749
0,0.00686141252518,8.11735987663e-07,3995,8000,0.10038836479187012,0.00649388790131,0.09352695226669311
0,0.00776892662048,8.11249944899e-07,4495,9000,0.11269609928131104,0.00730124950409,0.10492717266082764
0,0.00855624675751,8.09883356094e-07,4995,10000,0.12512582540512085,0.00809883356094,0.11656957864761353
