,T1-T2,average time per event for ideal,clean #,input length,total online time for BME(T1),total online time for ideal,total time clean(T2)
0,6.62803649902e-06,7.18116760254e-07,0,10,6.628036499023438e-06,7.18116760254e-06,0.0
0,0.000691452026367,6.80141448975e-07,989,1000,0.003895890712738037,0.000680141448975,0.0032044386863708495
0,0.00136910200119,6.50993585587e-07,1989,2000,0.007641541957855225,0.00130198717117,0.006272439956665039
0,0.00205077648163,6.53241475423e-07,2989,3000,0.011466190814971924,0.00195972442627,0.009415414333343506
0,0.00274554252625,6.59795999527e-07,3989,4000,0.015425989627838135,0.00263918399811,0.012680447101593018
0,0.0034152007103,6.59969329834e-07,4989,5000,0.019441132545471192,0.00329984664917,0.01602593183517456
0,0.00407637834549,6.61075909932e-07,5989,6000,0.023160974979400634,0.00396645545959,0.019084596633911134
0,0.00483552217484,6.6595179694e-07,6989,7000,0.027194929122924805,0.00466166257858,0.022359406948089598
0,0.00548853397369,6.6344588995e-07,7989,8000,0.031060993671417236,0.0053075671196,0.025572459697723388
0,0.00615820169449,6.63513872359e-07,8989,9000,0.034850997924804686,0.00597162485123,0.02869279623031616
0,0.00695576190948,6.63004875183e-07,9989,10000,0.03897571325302124,0.00663004875183,0.03201995134353638
